DATE,USASACRQISMEI
1979-04-01,138.80858756076
1979-07-01,142.498088067135
1979-10-01,131.553752430436
1980-01-01,138.915015459982
1980-04-01,103.789374220803
1980-07-01,116.658281035107
1980-10-01,118.596155700114
1981-01-01,129.824299068073
1981-04-01,107.474440231378
1981-07-01,120.201443180051
1981-10-01,96.6498359813036
1982-01-01,106.441202709761
1982-04-01,102.206259219871
1982-07-01,103.616428884567
1982-10-01,112.356820108203
1983-01-01,109.67395014864
1983-04-01,122.307828685494
1983-07-01,122.875444148013
1983-10-01,133.580317011462
1984-01-01,138.515910837899
1984-04-01,139.691052225145
1984-07-01,136.546994702285
1984-10-01,138.147847686421
1985-01-01,143.420463193729
1985-04-01,143.894954244429
1985-07-01,163.007631146444
1985-10-01,133.868559238522
1986-01-01,142.52026054614
1986-04-01,148.529002356402
1986-07-01,168.182687746131
1986-10-01,147.70862063323
1987-01-01,128.214577092335
1987-04-01,134.356353776625
1987-07-01,148.156504709124
1987-10-01,130.493907934013
1988-01-01,145.766311472422
1988-04-01,140.662206805549
1988-07-01,135.744350962316
1988-10-01,138.994836384399
1989-01-01,131.371938102598
1989-04-01,135.296466886422
1989-07-01,138.205496131833
1989-10-01,115.39001523604
1990-01-01,130.427390496999
1990-04-01,123.097168938059
1990-07-01,124.139275451278
1990-10-01,117.234765489228
1991-01-01,108.587498677411
1991-04-01,108.108573130911
1991-07-01,111.243761662169
1991-10-01,107.084204600896
1992-01-01,109.394576913181
1992-04-01,109.598563720024
1992-07-01,107.470005735577
1992-10-01,110.649539224845
1993-01-01,107.044294138687
1993-04-01,116.57846011069
1993-07-01,111.217154687364
1993-10-01,118.427644859679
1994-01-01,120.95530746621
1994-04-01,119.106122717221
1994-07-01,117.394407338062
1994-10-01,120.95974196201
1995-01-01,113.350147167612
1995-04-01,112.990953007736
1995-07-01,116.126141538995
1995-10-01,116.24587292562
1996-01-01,113.922197125932
1996-04-01,116.139445026398
1996-07-01,112.392296074611
1996-10-01,108.729402543041
1997-01-01,112.498723973833
1997-04-01,105.372489221736
1997-07-01,110.126268720335
1997-10-01,109.328059476167
1998-01-01,103.035509934645
1998-04-01,111.190547712558
1998-07-01,102.600929346154
1998-10-01,113.412230108825
1999-01-01,110.764836115669
1999-04-01,114.857875739929
1999-07-01,116.192658976009
1999-10-01,117.842291413956
2000-01-01,123.469666585338
2000-04-01,117.660477086117
2000-07-01,115.939892715356
2000-10-01,110.024275316913
2001-01-01,114.631716454081
2001-04-01,110.587456283632
2001-07-01,103.478959514738
2001-10-01,115.740340404314
2002-01-01,105.159633423291
2002-04-01,107.696165021424
2002-07-01,111.048643846928
2002-10-01,104.064312960461
2003-01-01,102.3437285897
2003-04-01,98.8094354363573
2003-07-01,101.762809639778
2003-10-01,99.1420226214271
2004-01-01,98.9823807725936
2004-04-01,99.2041055626402
2004-07-01,97.5012591750825
2004-10-01,102.481197959529
2005-01-01,100.982338378814
2005-04-01,101.793851110384
2005-07-01,105.34588224693
2005-10-01,99.5278237561082
2006-01-01,104.897998171036
2006-04-01,102.694053757973
2006-07-01,104.051009473058
2006-10-01,101.372574009296
2007-01-01,101.34596703449
2007-04-01,101.164152706652
2007-07-01,97.7628944273374
2007-10-01,102.144176278658
2008-01-01,97.3238793430452
2008-04-01,102.064355354241
2008-07-01,90.0380027421146
2008-10-01,70.7922909660716
2009-01-01,61.3778563806939
2009-04-01,65.5019374755602
2009-07-01,86.2775503029246
2009-10-01,74.2822391614048
2010-01-01,71.5993692018412
2010-04-01,74.6902127750904
2010-07-01,76.6413909275004
2010-10-01,76.9651091209684
2011-01-01,82.4376166180526
2011-04-01,80.1349699033151
2011-07-01,77.4860248623644
2011-10-01,84.1787161994439
2012-01-01,98.0173345790532
2012-04-01,94.0531171941124
2012-07-01,94.447570338254
2012-10-01,99.0596120306832
2013-01-01,102.309881457407
2013-04-01,100.027591890586
2013-07-01,101.453249064065
2013-10-01,99.9080727975156
2014-01-01,98.1868923333221
2014-04-01,104.444072010097
2014-07-01,104.752526193047
2014-10-01,102.789633066501
2015-01-01,99.0237919881284
2015-04-01,101.707914057248
2015-07-01,101.858634749818
2015-10-01,97.4096592048063
2016-01-01,94.0837760144897
2016-04-01,91.2865776898715
2016-07-01,91.4325633509044
2016-10-01,88.922137642023
2017-01-01,82.6963320326569
2017-04-01,80.4992242641011
2017-07-01,81.2092732689426
2017-10-01,79.1864841084486
2018-01-01,72.3632286971114
2018-04-01,70.8575523403216
2018-07-01,68.6835926989674
2018-10-01,70.320065142456
2019-01-01,66.3380437706825
2019-04-01,64.2574536080015
2019-07-01,61.3133520084975
2019-10-01,58.534007783637
2020-01-01,50.8727434552259
