DATE,SLWHTO02USQ189S
2007-01-01,338659666666.667
2007-04-01,350173000000.0
2007-07-01,352821666666.667
2007-10-01,365389666666.667
2008-01-01,376226333333.333
2008-04-01,393493666666.667
2008-07-01,391938000000.0
2008-10-01,340543666666.667
2009-01-01,311015333333.333
2009-04-01,310099333333.333
2009-07-01,321073333333.333
2009-10-01,334024333333.333
2010-01-01,347693333333.333
2010-04-01,357194000000.0
2010-07-01,362435000000.0
2010-10-01,377003000000.0
2011-01-01,396069666666.667
2011-04-01,405082666666.667
2011-07-01,412054666666.667
2011-10-01,417242333333.333
2012-01-01,430280333333.333
2012-04-01,432371666666.667
2012-07-01,431584666666.667
2012-10-01,438763333333.333
2013-01-01,444685666666.667
2013-04-01,443165666666.667
2013-07-01,446042000000.0
2013-10-01,454676000000.0
2014-01-01,455923000000.0
2014-04-01,466924000000.0
2014-07-01,468676000000.0
2014-10-01,460882666666.667
2015-01-01,439847000000.0
2015-04-01,445076333333.333
2015-07-01,442637666666.667
2015-10-01,434553333333.333
2016-01-01,423307666666.667
2016-04-01,431801666666.667
2016-07-01,437811000000.0
2016-10-01,445443666666.667
2017-01-01,457444333333.333
2017-04-01,457506666666.667
2017-07-01,467589333333.333
2017-10-01,483759333333.333
2018-01-01,486976333333.333
2018-04-01,503058333333.333
