DATE,BSCICP03USM665S
1976-04-01,101.392689429066
1976-05-01,101.222914558042
1976-06-01,100.959558904251
1976-07-01,100.619442900805
1976-08-01,100.313034216065
1976-09-01,100.101848416056
1976-10-01,100.011030919878
1976-11-01,100.051654188009
1976-12-01,100.290547594962
1977-01-01,100.431896937728
1977-02-01,100.606744581471
1977-03-01,100.853862893333
1977-04-01,100.986881845748
1977-05-01,101.060749904363
1977-06-01,100.923900722775
1977-07-01,100.732038542567
1977-08-01,100.476346292725
1977-09-01,100.364236381551
1977-10-01,100.487389487857
1977-11-01,100.723988236907
1977-12-01,100.930378446959
1978-01-01,100.851383744877
1978-02-01,100.690457426441
1978-03-01,100.684974193866
1978-04-01,100.952342121397
1978-05-01,101.306597276167
1978-06-01,101.5577016258
1978-07-01,101.681978471718
1978-08-01,101.633970970078
1978-09-01,101.578954885747
1978-10-01,101.542181247004
1978-11-01,101.505867676914
1978-12-01,101.362021537983
1979-01-01,101.200604984521
1979-02-01,101.054616254636
1979-03-01,100.872617611985
1979-04-01,100.601761205091
1979-05-01,100.264849592376
1979-06-01,99.9163777962106
1979-07-01,99.6016676922055
1979-08-01,99.3485502054863
1979-09-01,99.1882486853723
1979-10-01,99.030719168678
1979-11-01,98.8459395233502
1979-12-01,98.6955132240232
1980-01-01,98.7075727621144
1980-02-01,98.5556019924087
1980-03-01,97.7402033242919
1980-04-01,96.5805734323852
1980-05-01,95.6447187721299
1980-06-01,95.6078528132549
1980-07-01,96.5092408181749
1980-08-01,97.9779544125748
1980-09-01,99.3179018860799
1980-10-01,100.242815067794
1980-11-01,100.501732534862
1980-12-01,100.087418101008
1981-01-01,99.5441091845959
1981-02-01,99.2904748192747
1981-03-01,99.3653948765095
1981-04-01,99.5976439368099
1981-05-01,99.6988722206806
1981-06-01,99.4511089987852
1981-07-01,99.004299155017
1981-08-01,98.5364129497438
1981-09-01,97.8607509226481
1981-10-01,97.2296320743714
1981-11-01,96.7927737292641
1981-12-01,96.7037197955811
1982-01-01,96.7381817931846
1982-02-01,96.7398823871211
1982-03-01,96.6700438841114
1982-04-01,96.6266752621366
1982-05-01,96.5995963206004
1982-06-01,96.723682537535
1982-07-01,96.8232286701046
1982-08-01,96.8755159963198
1982-09-01,96.9322538059914
1982-10-01,97.0463044509924
1982-11-01,97.3198836532021
1982-12-01,97.9164356006447
1983-01-01,98.7450784982327
1983-02-01,99.6196070671602
1983-03-01,100.101453600058
1983-04-01,100.388119768015
1983-05-01,100.726391970065
1983-06-01,101.1886380358
1983-07-01,101.733299870261
1983-08-01,102.036474117528
1983-09-01,102.227495361171
1983-10-01,102.480823759375
1983-11-01,102.69909806015
1983-12-01,102.658572050071
1984-01-01,102.126642229874
1984-02-01,101.720891141943
1984-03-01,101.468180579323
1984-04-01,101.378303661833
1984-05-01,101.192992434135
1984-06-01,100.91653487721
1984-07-01,100.497383171495
1984-08-01,99.9996731361969
1984-09-01,99.602623464541
1984-10-01,99.4476294298489
1984-11-01,99.4056838514995
1984-12-01,99.4002721178054
1985-01-01,99.3443796467475
1985-02-01,99.2088664902376
1985-03-01,99.0153969346075
1985-04-01,98.8880021630257
1985-05-01,98.8058097171402
1985-06-01,98.814388762753
1985-07-01,98.8770786769501
1985-08-01,99.0133233671516
1985-09-01,99.2569689804377
1985-10-01,99.4780439663004
1985-11-01,99.6008411808686
1985-12-01,99.5927191362772
1986-01-01,99.5721686448542
1986-02-01,99.5440957579108
1986-03-01,99.5253103747795
1986-04-01,99.5306238827122
1986-05-01,99.5916345400108
1986-06-01,99.4785748622927
1986-07-01,99.4158430355514
1986-08-01,99.5864215117015
1986-09-01,99.6699182472391
1986-10-01,99.6374189091601
1986-11-01,99.6260148923758
1986-12-01,99.7194511755137
1987-01-01,99.9595303377012
1987-02-01,100.105762910766
1987-03-01,100.318743652069
1987-04-01,100.531203630407
1987-05-01,100.738732449266
1987-06-01,100.892256386098
1987-07-01,101.047299173357
1987-08-01,101.252433308718
1987-09-01,101.415224891333
1987-10-01,101.474876709896
1987-11-01,101.407337648207
1987-12-01,101.291576607754
1988-01-01,100.978356722456
1988-02-01,100.66772411663
1988-03-01,100.487660966978
1988-04-01,100.531879002605
1988-05-01,100.704080678306
1988-06-01,100.925592621214
1988-07-01,100.90020108453
1988-08-01,100.690169698496
1988-09-01,100.510767148327
1988-10-01,100.478570842729
1988-11-01,100.497042734751
1988-12-01,100.477614239083
1989-01-01,100.342201963564
1989-02-01,100.126586698941
1989-03-01,99.8429865885846
1989-04-01,99.5697466519732
1989-05-01,99.1892606834472
1989-06-01,98.8081245534814
1989-07-01,98.5289810950389
1989-08-01,98.4119037630718
1989-09-01,98.4597133636395
1989-10-01,98.5671543976894
1989-11-01,98.6619740721986
1989-12-01,98.7653822543096
1990-01-01,98.8972317968206
1990-02-01,99.0985360972149
1990-03-01,99.2576443081023
1990-04-01,99.3077018837664
1990-05-01,99.2354433574629
1990-06-01,99.0521223892788
1990-07-01,98.7608321748196
1990-08-01,98.4768635428238
1990-09-01,98.1733169580186
1990-10-01,97.8601330354997
1990-11-01,97.5518371491653
1990-12-01,97.3078842484327
1991-01-01,97.1421898976323
1991-02-01,97.1621450591237
1991-03-01,97.398508467725
1991-04-01,97.8274267162678
1991-05-01,98.4069099527972
1991-06-01,99.088653726017
1991-07-01,99.5953453486546
1991-08-01,99.9562022885875
1991-09-01,100.063243416775
1991-10-01,99.7931474083611
1991-11-01,99.3199640849475
1991-12-01,99.0074331995929
1992-01-01,99.12661331339
1992-02-01,99.6017468456932
1992-03-01,99.9960180779379
1992-04-01,100.16975129159
1992-05-01,100.284904382845
1992-06-01,100.211583178505
