"Population using at least basic sanitation services (%)"
"HDI Rank (2018)","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"52","Bulgaria","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86","","86",""
"182","Burkina Faso","11","","12","","12","","13","","14","","14","","15","","16","","16","","17","","17","","17","","18","","18","","19","","19","","19","","19",""
"185","Burundi","45","","45","","46","","46","","46","","46","","46","","46","","46","","46","","46","","46","","46","","46","","46","","46","","46","","46",""
"126","Cabo Verde","40","","42","","44","","46","","49","","51","","53","","55","","57","","59","","61","","63","","65","","67","","69","","70","","72","","74",""
"146","Cambodia","10","","13","","15","","18","","21","","23","","26","","29","","32","","35","","38","","41","","44","","47","","50","","53","","57","","59",""
"150","Cameroon","40","","40","","40","","40","","40","","39","","39","","39","","39","","39","","39","","39","","39","","39","","39","","39","","39","","39",""
"13","Canada","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","99","","99","","99","","99","","99","","99",""
"188","Central African Republic","15","","16","","17","","17","","18","","19","","20","","21","","21","","22","","23","","24","","25","","25","","25","","25","","25","","..",""
"187","Chad","12","","11","","11","","11","","11","","11","","11","","11","","11","","11","","10","","10","","10","","9","","9","","9","","9","","8",""
"42","Chile","92","","93","","93","","94","","94","","95","","95","","96","","96","","97","","97","","98","","98","","99","","99","","100","","100","","100",""
"85","China","56","","57","","59","","61","","63","","65","","67","","68","","70","","72","","74","","75","","77","","78","","80","","82","","83","","85",""
"79","Colombia","72","","73","","74","","75","","76","","77","","78","","79","","80","","81","","82","","83","","84","","85","","87","","88","","89","","90",""
"156","Comoros","29","","30","","31","","32","","32","","33","","33","","33","","34","","34","","34","","35","","35","","35","","35","","36","","36","","36",""
"138","Congo","12","","12","","12","","13","","13","","14","","14","","15","","15","","16","","16","","17","","17","","18","","18","","19","","20","","20",""
"179","Congo (Democratic Republic of the)","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","20","","20","","20","","20","","20","","20","","20",""
"68","Costa Rica","93","","94","","94","","94","","94","","94","","95","","95","","95","","95","","96","","96","","96","","97","","97","","97","","98","","98",""
"46","Croatia","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","96","","97","","97",""
"72","Cuba","87","","87","","87","","87","","88","","88","","88","","89","","89","","90","","90","","91","","91","","92","","92","","92","","93","","93",""
"31","Cyprus","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","99","","99","","99","","99","","99","","99","","99",""
"26","Czechia","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"165","Côte d'Ivoire","21","","21","","22","","22","","23","","23","","24","","25","","25","","26","","27","","28","","28","","29","","30","","31","","31","","32",""
"11","Denmark","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"171","Djibouti","47","","47","","47","","47","","47","","49","","50","","51","","52","","54","","55","","56","","57","","59","","60","","61","","62","","64",""
"98","Dominica","64","","65","","67","","68","","69","","70","","72","","73","","74","","75","","77","","78","","78","","78","","78","","78","","..","","..",""
"89","Dominican Republic","78","","78","","78","","79","","79","","79","","80","","80","","81","","81","","81","","82","","82","","82","","83","","83","","84","","84",""
"85","Ecuador","70","","71","","72","","73","","74","","75","","76","","77","","78","","79","","81","","82","","83","","84","","85","","86","","87","","88",""
"116","Egypt","92","","92","","92","","93","","93","","93","","93","","93","","93","","93","","93","","94","","94","","94","","94","","94","","94","","94",""
"124","El Salvador","83","","83","","83","","84","","84","","84","","85","","85","","85","","85","","86","","86","","86","","87","","87","","87","","87","","87",""
"144","Equatorial Guinea","55","","56","","57","","58","","59","","60","","60","","61","","62","","63","","64","","65","","65","","66","","66","","66","","66","","66",""
"182","Eritrea","8","","9","","9","","9","","10","","10","","10","","11","","11","","11","","11","","11","","12","","12","","12","","12","","12","","..",""
"30","Estonia","100","","100","","100","","100","","100","","100","","100","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"138","Eswatini (Kingdom of)","50","","51","","51","","52","","52","","53","","53","","54","","54","","55","","55","","56","","56","","57","","57","","58","","58","","58",""
"173","Ethiopia","3","","4","","4","","4","","4","","5","","5","","5","","5","","5","","6","","6","","6","","6","","7","","7","","7","","7",""
"98","Fiji","80","","80","","80","","81","","82","","83","","84","","86","","87","","88","","89","","90","","91","","92","","93","","95","","95","","95",""
"12","Finland","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"26","France","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"115","Gabon","34","","35","","36","","37","","38","","39","","40","","41","","42","","42","","43","","44","","45","","46","","47","","47","","47","","47",""
"174","Gambia","58","","56","","55","","53","","52","","50","","49","","48","","46","","45","","44","","43","","42","","41","","40","","39","","39","","39",""
"70","Georgia","95","","95","","94","","94","","93","","93","","93","","93","","92","","92","","92","","91","","91","","91","","91","","90","","90","","90",""
"4","Germany","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"142","Ghana","9","","9","","9","","10","","10","","11","","12","","12","","13","","13","","14","","15","","15","","16","","16","","17","","18","","18",""
"32","Greece","97","","97","","98","","98","","98","","98","","98","","98","","98","","98","","98","","99","","99","","99","","99","","99","","99","","99",""
"78","Grenada","90","","90","","90","","91","","91","","91","","91","","92","","92","","92","","92","","92","","92","","91","","91","","91","","91","","91",""
"126","Guatemala","63","","63","","64","","64","","64","","64","","64","","64","","64","","65","","65","","65","","65","","65","","65","","65","","65","","65",""
"174","Guinea","9","","10","","11","","12","","13","","13","","14","","15","","16","","17","","17","","18","","19","","19","","20","","21","","22","","23",""
"178","Guinea-Bissau","12","","12","","13","","13","","14","","14","","15","","15","","16","","16","","17","","17","","18","","19","","19","","20","","20","","21",""
"123","Guyana","79","","79","","80","","80","","81","","81","","82","","82","","82","","83","","83","","84","","84","","85","","85","","85","","86","","86",""
"169","Haiti","17","","18","","19","","20","","21","","22","","23","","24","","25","","26","","27","","28","","29","","30","","31","","33","","34","","35",""
"132","Honduras","63","","64","","65","","66","","67","","69","","70","","71","","72","","73","","74","","75","","76","","77","","78","","79","","80","","81",""
"43","Hungary","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"6","Iceland","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"129","India","16","","19","","21","","24","","26","","29","","31","","34","","36","","39","","41","","44","","47","","49","","52","","54","","57","","60",""
"111","Indonesia","41","","43","","45","","47","","49","","51","","52","","54","","56","","58","","60","","62","","64","","66","","67","","69","","71","","73",""
"65","Iran (Islamic Republic of)","87","","87","","87","","88","","88","","88","","88","","88","","88","","88","","88","","88","","88","","88","","88","","88","","88","","88",""
"120","Iraq","71","","71","","72","","72","","73","","74","","76","","78","","79","","81","","82","","84","","86","","87","","89","","91","","92","","94",""
"3","Ireland","90","","90","","90","","90","","90","","90","","90","","90","","90","","90","","91","","91","","91","","91","","91","","91","","91","","91",""
"22","Israel","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"29","Italy","..","","..","","..","","..","","..","","..","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"96","Jamaica","82","","82","","82","","82","","83","","83","","84","","84","","84","","85","","85","","85","","86","","86","","87","","87","","87","","87",""
"19","Japan","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"102","Jordan","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","97","","97",""
"50","Kazakhstan","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","98","","98","","98","","98","","98","","98",""
"147","Kenya","34","","33","","33","","33","","33","","32","","32","","32","","31","","31","","31","","31","","30","","30","","30","","30","","29","","29",""
"132","Kiribati","24","","25","","27","","28","","30","","32","","33","","35","","36","","38","","39","","40","","42","","43","","44","","45","","47","","48",""
"..","Korea (Democratic People's Rep. of)","..","","..","","75","","75","","75","","75","","75","","76","","77","","77","","78","","79","","79","","80","","81","","82","","82","","83",""
"22","Korea (Republic of)","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"57","Kuwait","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"122","Kyrgyzstan","92","","92","","93","","93","","94","","94","","94","","94","","95","","95","","95","","96","","96","","96","","97","","97","","97","","97",""
"140","Lao People's Democratic Republic","28","","31","","34","","37","","40","","43","","46","","49","","51","","54","","56","","59","","62","","64","","67","","69","","72","","74",""
"39","Latvia","88","","88","","89","","89","","89","","89","","90","","90","","90","","90","","90","","91","","91","","91","","91","","91","","92","","92",""
"93","Lebanon","75","","75","","75","","77","","78","","80","","81","","83","","84","","86","","88","","89","","91","","92","","94","","95","","97","","98",""
"164","Lesotho","9","","11","","14","","16","","18","","20","","22","","24","","26","","28","","30","","32","","34","","36","","37","","39","","41","","43",""
"176","Liberia","14","","14","","14","","14","","15","","15","","15","","15","","16","","16","","16","","16","","16","","16","","17","","17","","17","","17",""
"110","Libya","97","","98","","98","","98","","98","","98","","98","","99","","99","","99","","99","","99","","99","","100","","100","","100","","100","","100",""
"34","Lithuania","84","","85","","85","","86","","86","","87","","87","","88","","89","","89","","90","","90","","91","","91","","92","","92","","93","","93",""
"21","Luxembourg","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"162","Madagascar","5","","5","","5","","5","","6","","6","","6","","7","","7","","8","","8","","8","","9","","9","","9","","10","","10","","11",""
"172","Malawi","21","","21","","21","","22","","22","","22","","23","","23","","23","","24","","24","","24","","25","","25","","25","","26","","26","","26",""
"61","Malaysia","97","","97","","97","","97","","98","","98","","98","","98","","98","","99","","99","","99","","99","","99","","100","","100","","100","","100",""
"104","Maldives","74","","76","","78","","79","","81","","83","","85","","86","","88","","89","","91","","93","","94","","96","","98","","99","","99","","99",""
"184","Mali","16","","17","","18","","20","","21","","22","","23","","25","","26","","27","","29","","30","","32","","33","","35","","36","","38","","39",""
"28","Malta","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"117","Marshall Islands","..","","80","","80","","80","","80","","80","","81","","81","","81","","81","","82","","82","","82","","82","","83","","83","","83","","83",""
"161","Mauritania","17","","18","","20","","21","","22","","23","","25","","27","","29","","30","","32","","35","","37","","39","","41","","43","","46","","48",""
"66","Mauritius","90","","90","","91","","91","","92","","92","","93","","93","","93","","94","","94","","95","","95","","96","","96","","96","","96","","96",""
"76","Mexico","75","","76","","77","","78","","79","","80","","81","","82","","83","","84","","85","","86","","87","","88","","89","","89","","90","","91",""
"135","Micronesia (Federated States of)","25","","29","","33","","37","","42","","46","","50","","54","","59","","63","","67","","71","","76","","80","","84","","88","","88","","88",""
"107","Moldova (Republic of)","74","","75","","75","","76","","75","","75","","75","","75","","75","","75","","75","","75","","75","","75","","75","","75","","76","","76",""
"..","Monaco","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"92","Mongolia","48","","49","","49","","50","","51","","52","","52","","53","","54","","55","","56","","56","","57","","57","","58","","58","","58","","58",""
"52","Montenegro","..","","..","","..","","..","","..","","..","","90","","91","","92","","93","","94","","95","","95","","96","","97","","98","","98","","98",""
"121","Morocco","66","","67","","68","","70","","72","","73","","75","","76","","78","","80","","81","","83","","84","","86","","87","","88","","88","","89",""
"180","Mozambique","10","","11","","12","","13","","14","","15","","16","","17","","19","","20","","21","","22","","23","","24","","26","","27","","28","","29",""
"145","Myanmar","71","","70","","70","","70","","69","","69","","69","","68","","68","","67","","67","","67","","66","","66","","65","","65","","65","","64",""
"130","Namibia","28","","28","","29","","29","","30","","30","","31","","31","","31","","32","","32","","33","","33","","33","","34","","34","","34","","35",""
"..","Nauru","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66","","66",""
"147","Nepal","15","","17","","20","","22","","25","","27","","30","","33","","35","","38","","41","","44","","47","","50","","53","","56","","59","","62",""
"10","Netherlands","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"14","New Zealand","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"126","Nicaragua","58","","59","","60","","61","","62","","63","","64","","65","","66","","67","","68","","69","","70","","71","","72","","73","","74","","74",""
"189","Niger","5","","6","","6","","7","","8","","8","","9","","9","","10","","10","","11","","11","","11","","12","","12","","13","","13","","14",""
"158","Nigeria","30","","29","","30","","30","","31","","31","","32","","33","","33","","34","","34","","35","","36","","36","","37","","38","","38","","39",""
"82","North Macedonia","85","","85","","85","","85","","85","","86","","88","","89","","90","","92","","93","","95","","96","","97","","98","","98","","99","","99",""
"1","Norway","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"47","Oman","89","","89","","90","","90","","91","","92","","93","","94","","95","","96","","97","","98","","99","","100","","100","","100","","100","","100",""
"152","Pakistan","31","","33","","35","","37","","39","","41","","42","","44","","46","","47","","49","","51","","52","","54","","55","","57","","58","","60",""
"55","Palau","99","","99","","99","","99","","99","","99","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"67","Panama","61","","62","","63","","65","","66","","67","","69","","70","","72","","73","","74","","76","","77","","78","","80","","81","","82","","83",""
"155","Papua New Guinea","21","","21","","21","","21","","21","","20","","20","","19","","18","","18","","17","","17","","16","","15","","15","","14","","14","","13",""
"98","Paraguay","70","","72","","73","","74","","75","","77","","78","","79","","80","","81","","82","","83","","84","","86","","87","","88","","89","","90",""
"82","Peru","64","","65","","66","","66","","67","","68","","68","","69","","70","","70","","71","","71","","72","","72","","73","","73","","74","","74",""
"106","Philippines","62","","63","","63","","63","","64","","64","","65","","66","","67","","68","","69","","70","","71","","72","","73","","74","","75","","77",""
"32","Poland","88","","88","","89","","90","","90","","91","","92","","92","","93","","94","","94","","95","","96","","96","","97","","98","","98","","99",""
"40","Portugal","97","","97","","98","","98","","98","","98","","98","","98","","99","","99","","99","","99","","99","","99","","99","","99","","100","","100",""
"41","Qatar","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"52","Romania","..","","75","","75","","75","","75","","75","","76","","77","","77","","78","","79","","80","","81","","81","","82","","83","","84","","84",""
"49","Russian Federation","83","","84","","84","","85","","85","","85","","86","","86","","87","","87","","88","","88","","88","","89","","89","","90","","90","","90",""
"157","Rwanda","45","","47","","48","","50","","51","","52","","53","","55","","56","","57","","58","","59","","61","","62","","63","","64","","65","","67",""
"73","Saint Kitts and Nevis","85","","86","","87","","87","","88","","89","","90","","90","","91","","92","","92","","92","","92","","92","","..","","..","","..","","..",""
"89","Saint Lucia","82","","82","","81","","81","","82","","83","","84","","84","","85","","86","","87","","87","","88","","89","","88","","88","","88","","88",""
"94","Saint Vincent and the Grenadines","71","","72","","73","","74","","76","","77","","78","","79","","80","","81","","83","","84","","85","","86","","87","","87","","87","","87",""
"111","Samoa","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"..","San Marino","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"137","Sao Tome and Principe","20","","22","","23","","24","","25","","27","","28","","30","","31","","33","","34","","35","","37","","38","","40","","41","","43","","43",""
"36","Saudi Arabia","98","","98","","98","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","100","","100","","100","","100","","100",""
"166","Senegal","39","","40","","40","","41","","42","","43","","43","","44","","45","","46","","46","","47","","48","","49","","49","","50","","51","","51",""
"63","Serbia","95","","95","","95","","95","","95","","95","","96","","96","","96","","96","","97","","97","","97","","97","","97","","98","","98","","98",""
"62","Seychelles","94","","95","","95","","95","","96","","96","","97","","97","","98","","98","","98","","99","","99","","100","","100","","100","","100","","100",""
"181","Sierra Leone","10","","10","","11","","11","","11","","12","","12","","12","","13","","13","","13","","14","","14","","14","","15","","15","","15","","16",""
"9","Singapore","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"36","Slovakia","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98","","98",""
"24","Slovenia","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"153","Solomon Islands","20","","21","","21","","21","","21","","22","","23","","24","","25","","26","","27","","28","","29","","30","","31","","32","","33","","34",""
"..","Somalia","20","","20","","21","","22","","22","","23","","25","","24","","26","","27","","29","","31","","32","","33","","34","","36","","37","","38",""
"113","South Africa","59","","60","","61","","62","","63","","64","","65","","66","","67","","68","","69","","70","","71","","72","","73","","74","","75","","76",""
"186","South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","7","","7","","8","","9","","10","","10","","11",""
"25","Spain","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"71","Sri Lanka","85","","85","","86","","87","","87","","88","","88","","89","","90","","90","","91","","92","","92","","93","","94","","94","","95","","96",""
"168","Sudan","21","","21","","21","","21","","21","","22","","23","","24","","26","","27","","28","","30","","31","","32","","34","","35","","36","","37",""
"98","Suriname","79","","80","","80","","80","","81","","81","","81","","81","","82","","82","","82","","83","","83","","83","","84","","84","","84","","84",""
"8","Sweden","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"2","Switzerland","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"154","Syrian Arab Republic","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","92","","92","","92","","92","","92","","91","","91",""
"125","Tajikistan","90","","90","","90","","91","","91","","92","","92","","93","","93","","93","","94","","94","","95","","95","","96","","96","","97","","97",""
"159","Tanzania (United Republic of)","4","","6","","7","","9","","10","","12","","13","","15","","16","","18","","19","","21","","22","","24","","25","","27","","28","","30",""
"77","Thailand","92","","92","","93","","93","","93","","94","","94","","95","","95","","95","","96","","96","","97","","97","","98","","98","","98","","99",""
"131","Timor-Leste","..","","..","","37","","38","","39","","40","","41","","43","","44","","45","","46","","47","","48","","49","","50","","51","","52","","54",""
"167","Togo","10","","10","","11","","11","","11","","11","","12","","12","","13","","13","","13","","14","","14","","14","","15","","15","","16","","16",""
"105","Tonga","89","","89","","89","","89","","89","","89","","90","","90","","91","","91","","92","","92","","93","","93","","93","","93","","93","","93",""
"63","Trinidad and Tobago","90","","90","","91","","91","","91","","91","","92","","92","","92","","92","","93","","93","","93","","93","","93","","93","","93","","93",""
"91","Tunisia","77","","78","","79","","80","","81","","82","","82","","83","","84","","85","","86","","87","","88","","89","","90","","90","","91","","91",""
"59","Turkey","82","","82","","83","","84","","86","","87","","88","","89","","90","","91","","92","","93","","94","","96","","97","","97","","97","","97",""
"108","Turkmenistan","93","","93","","93","","93","","93","","94","","94","","94","","95","","95","","96","","96","","97","","97","","97","","98","","98","","99",""
"..","Tuvalu","..","","80","","80","","80","","80","","80","","81","","81","","82","","83","","83","","84","","84","","84","","84","","84","","84","","84",""
"159","Uganda","17","","17","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18","","18",""
"88","Ukraine","94","","94","","95","","95","","95","","95","","95","","95","","95","","96","","96","","96","","96","","96","","96","","96","","96","","96",""
"35","United Arab Emirates","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"15","United Kingdom","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"15","United States","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"57","Uruguay","94","","94","","94","","94","","94","","94","","94","","95","","95","","95","","95","","95","","96","","96","","96","","96","","96","","97",""
"108","Uzbekistan","93","","93","","94","","95","","95","","96","","96","","97","","97","","98","","99","","99","","100","","100","","100","","100","","100","","100",""
"141","Vanuatu","62","","62","","62","","62","","62","","60","","57","","55","","53","","51","","49","","47","","44","","42","","40","","38","","36","","34",""
"96","Venezuela (Bolivarian Republic of)","..","","..","","..","","..","","..","","93","","93","","93","","94","","94","","94","","94","","94","","94","","94","","94","","94","","94",""
"118","Viet Nam","52","","54","","56","","58","","60","","62","","64","","65","","67","","69","","71","","73","","75","","76","","78","","80","","82","","84",""
"177","Yemen","42","","42","","43","","44","","46","","47","","48","","49","","51","","52","","53","","54","","55","","56","","57","","58","","59","","59",""
"143","Zambia","24","","24","","24","","24","","24","","25","","25","","25","","25","","25","","25","","25","","26","","26","","26","","26","","26","","26",""
"150","Zimbabwe","46","","46","","46","","46","","45","","45","","44","","43","","42","","42","","41","","40","","40","","39","","38","","38","","37","","36",""
"4","Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"119","Palestine, State of","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","96","","95","","96","","96","","96","","96","","96","","97","","97","","97","","97","","97","","97","","98","","98","","98","","98","","98",""
" ","High human development","63","","64","","65","","67","","68","","70","","71","","72","","74","","75","","77","","78","","79","","80","","82","","83","","84","","85",""
" ","Medium human development","25","","27","","29","","31","","33","","35","","37","","39","","41","","43","","45","","47","","50","","51","","53","","55","","57","","60",""
" ","Low human development","21","","21","","22","","22","","23","","23","","24","","25","","25","","26","","26","","27","","27","","27","","28","","29","","29","","30",""
" ","Developing Countries","46","","47","","49","","50","","51","","53","","54","","56","","57","","58","","60","","61","","62","","63","","65","","66","","67","","69",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","74","","74","","74","","75","","76","","76","","77","","77","","78","","79","","80","","80","","81","","82","","82","","83","","83","","83",""
" ","East Asia and the Pacific","56","","57","","59","","61","","63","","64","","66","","67","","69","","71","","72","","73","","75","","76","","78","","80","","81","","83",""
" ","Europe and Central Asia","89","","89","","89","","90","","90","","91","","92","","92","","93","","93","","94","","94","","95","","96","","96","","97","","97","","97",""
" ","Latin America and the Caribbean","73","","74","","75","","76","","76","","78","","79","","79","","80","","81","","82","","83","","84","","84","","85","","86","","86","","86",""
" ","South Asia","23","","25","","27","","29","","31","","34","","36","","38","","40","","42","","44","","47","","49","","51","","53","","55","","58","","60",""
" ","Sub-Saharan Africa","23","","23","","24","","24","","25","","25","","26","","26","","26","","27","","27","","28","","28","","28","","29","","30","","30","","30",""
" ","Least Developed Countries","22","","23","","23","","24","","25","","26","","26","","27","","28","","29","","29","","30","","31","","31","","32","","33","","33","","34",""
" ","Small Island Developing States","63","","63","","63","","63","","64","","64","","64","","64","","65","","65","","65","","66","","66","","66","","66","","67","","67","","67",""
" ","Organization for Economic Co-operation and Development","96","","96","","96","","96","","96","","97","","97","","97","","97","","97","","98","","98","","98","","98","","98","","98","","98","","99",""
" ","World","55","","56","","57","","59","","60","","61","","62","","63","","64","","65","","66","","67","","69","","69","","70","","72","","72","","73",""
""
