"Net migration rate (per 1,000 people)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2015","","2020",""
"89","Dominican Republic","-4.0","","-3.9","","-3.7","","-3.5","","-3.3","","-3.1"," a","-2.8"," b"
"85","Ecuador","-0.4","","-0.3","","-1.2","","-1.8","","-0.6","","-0.5"," a","2.1"," b"
"116","Egypt","-0.8","","-1.6","","-0.6","","-0.2","","-0.7","","-0.6"," a","-0.4"," b"
"124","El Salvador","-10.1","","-9.7","","-11.4","","-10.5","","-9.3","","-7.7"," a","-6.3"," b"
"144","Equatorial Guinea","10.4","","8.7","","12.7","","14.8","","18.9","","17.0"," a","12.4"," b"
"182","Eritrea","-3.8","","-28.2","","-11.6","","17.8","","-5.3","","-15.1"," a","-11.6"," b"
"30","Estonia","2.0","","-14.9","","-0.2","","-2.7","","-2.3","","-1.6"," a","3.0"," b"
"138","Eswatini (Kingdom of)","-0.6","","-5.3","","-5.4","","-9.4","","-7.3","","-7.7"," a","-7.4"," b"
"173","Ethiopia","3.5","","5.6","","-0.5","","-0.4","","-0.1","","0.8"," a","0.3"," b"
"98","Fiji","-18.6","","-9.0","","-9.8","","-14.4","","-5.6","","-12.0"," a","-7.0"," b"
"12","Finland","0.7"," f","1.9"," f","0.9"," f","1.2"," f","2.2"," f","3.0"," a,f","2.5"," b,f"
"26","France","1.0","","0.4","","0.7","","3.1","","1.4","","1.3"," a","0.6"," b"
"115","Gabon","1.1","","1.0","","1.7","","3.8","","8.5","","11.2"," a","1.6"," b"
"174","Gambia","14.2","","0.5","","-0.7","","0.2","","-1.9","","-1.6"," a","-1.4"," b"
"70","Georgia","-1.6"," g","-22.8"," g","-28.0"," g","-6.9"," g","-5.8"," g","-4.7"," a,g","-2.5"," b,g"
"4","Germany","4.3","","6.6","","1.8","","2.0","","0.1","","4.8"," a","6.6"," b"
"142","Ghana","-0.6","","-0.2","","-1.4","","0.2","","1.3","","-0.4"," a","-0.3"," b"
"32","Greece","3.5","","8.8","","5.5","","2.0","","-6.7","","-3.0"," a","-1.5"," b"
"78","Grenada","-31.0","","-8.6","","-7.8","","-6.8","","-6.7","","-1.9"," a","-1.8"," b"
"126","Guatemala","-6.9","","-7.5","","-7.3","","-4.5","","-1.6","","-0.6"," a","-0.5"," b"
"174","Guinea","0.0","","-4.0","","-4.7","","-8.1","","-6.5","","-5.4"," a","-0.3"," b"
"178","Guinea-Bissau","-6.1","","-5.8","","-7.2","","-4.4","","-2.4","","-0.9"," a","-0.8"," b"
"123","Guyana","-27.1","","-15.4","","-23.0","","-16.9","","-13.4","","-9.2"," a","-7.7"," b"
"169","Haiti","-4.0","","-3.8","","-3.6","","-3.2","","-2.9","","-2.9"," a","-3.2"," b"
"132","Honduras","-3.2","","-2.9","","-2.1","","-1.2","","-0.6","","-0.7"," a","-0.7"," b"
"4","Hong Kong, China (SAR)","8.0","","5.3","","11.8","","1.9","","2.6","","2.1"," a","4.0"," b"
"43","Hungary","-1.7","","1.9","","1.5","","1.2","","0.5","","0.6"," a","0.6"," b"
"6","Iceland","0.5","","-0.8","","0.7","","2.0","","7.8","","-1.3"," a","1.1"," b"
"129","India","0.0","","-0.1","","-0.1","","-0.3","","-0.4","","-0.4"," a","-0.4"," b"
"111","Indonesia","0.3","","-0.0","","-0.1","","-1.1","","-1.1","","-0.4"," a","-0.4"," b"
"65","Iran (Islamic Republic of)","5.8","","-3.0","","-0.7","","-0.1","","-1.6","","-1.3"," a","-0.7"," b"
"120","Iraq","-7.9","","-1.6","","-0.2","","-2.1","","-7.8","","8.0"," a","0.2"," b"
"3","Ireland","-7.2","","-0.9","","4.6","","10.2","","9.1","","-4.9"," a","4.9"," b"
