"International student mobility (% of total tertiary enrolment)"
"10","Netherlands","0.6","","3.0","","2.4","","3.2","","5.4","","..","","..","","8.4","","8.7","","..",""
"14","New Zealand","..","","..","","12.4","","13.6","","13.7","","14.0","","16.8","","19.2","","17.8","","..",""
"189","Niger","..","","..","","-12.1","","-12.0","","-8.6","","..","","..","","-5.6","","..","","-2.3",""
"82","North Macedonia","-11.1","","-12.5","","..","","..","","-5.0","","-4.5","","-3.7","","-4.1","","..","","..",""
"1","Norway","-2.4","","0.5","","0.8","","0.5","","0.8","","-3.5","","-3.4","","-3.4","","-2.9","","..",""
"47","Oman","..","","..","","-10.6","","-8.6","","..","","-8.5","","-8.3","","-9.3","","-9.7","","..",""
"119","Palestine, State of","-13.5","","..","","-7.9","","-7.8","","-8.8","","-9.9","","-11.5","","-11.9","","-12.8","","-11.2",""
"106","Philippines","..","","-0.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"32","Poland","-0.5","","-0.5","","-0.4","","-0.3","","-0.1","","0.2","","0.6","","1.2","","1.9","","..",""
"40","Portugal","0.5","","1.6","","-0.4","","0.0","","1.5","","0.9","","0.9","","1.3","","..","","..",""
"41","Qatar","..","","5.5","","18.9","","21.9","","20.4","","17.3","","21.7","","18.0","","15.8","","14.9",""
"52","Romania","-0.1","","-1.0","","-1.2","","-1.4","","-2.0","","-1.8","","-1.6","","-1.7","","-1.5","","..",""
"49","Russian Federation","0.2","","0.6","","..","","1.3","","1.5","","..","","2.3","","2.6","","3.0","","..",""
"157","Rwanda","..","","..","","..","","..","","-7.7","","-6.2","","-6.3","","-5.1","","-5.0","","-4.0",""
"73","Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","61.6","","..","","..","","..",""
"89","Saint Lucia","..","","..","","-53.8","","-41.0","","-47.7","","-30.1","","-15.4","","-16.8","","-7.5","","-16.4",""
"111","Samoa","-71.8","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36","Saudi Arabia","-0.8","","0.1","","-1.8","","-1.6","","-1.5","","-0.9","","-0.8","","-0.9","","-0.6","","..",""
"166","Senegal","..","","..","","..","","-3.1","","2.0","","5.5","","6.3","","7.3","","-0.2","","0.8",""
"63","Serbia","..","","..","","-1.3","","-2.1","","-1.5","","-1.6","","-2.1","","-1.5","","-1.6","","-1.1",""
"62","Seychelles","..","","..","","..","","-215.9","","-473.0","","-199.2","","-92.3","","-40.1","","-40.9","","..",""
"9","Singapore","..","","..","","11.5","","13.0","","10.5","","..","","..","","..","","14.3","","..",""
"36","Slovakia","-3.1","","-8.8","","-9.7","","-10.6","","-10.8","","-11.0","","-10.6","","-11.2","","-13.1","","..",""
"24","Slovenia","-5.7","","-1.1","","-0.4","","-0.5","","-0.1","","0.0","","0.0","","-0.4","","-0.2","","..",""
"113","South Africa","..","","..","","..","","..","","3.6","","3.4","","3.5","","3.4","","3.5","","..",""
