"Concentration index (exports) (value)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"174","Gambia","0.214","","0.238","","0.343","","0.351","","0.325","","0.398","","0.408","","0.490",""
"70","Georgia","0.209","","0.231","","0.251","","0.245","","0.222","","0.183","","0.198","","0.205",""
"4","Germany","0.097","","0.092","","0.093","","0.093","","0.097","","0.105","","0.106","","0.099",""
"142","Ghana","0.489","","0.349","","0.447","","0.427","","0.438","","0.469","","0.471","","0.460",""
"32","Greece","0.214","","0.260","","0.338","","0.345","","0.339","","0.253","","0.234","","0.269",""
"78","Grenada","0.207","","0.227","","0.230","","0.235","","0.242","","0.246","","0.234","","0.219",""
"126","Guatemala","0.142","","0.146","","0.146","","0.140","","0.136","","0.141","","0.148","","0.148",""
"174","Guinea","0.413","","0.448","","0.450","","0.451","","0.450","","0.462","","0.471","","0.474",""
"178","Guinea-Bissau","0.873","","0.873","","0.874","","0.874","","0.873","","0.875","","0.876","","0.875",""
"123","Guyana","0.465","","0.483","","0.499","","0.506","","0.453","","0.366","","0.491","","0.433",""
"169","Haiti","0.525","","0.508","","0.509","","0.499","","0.495","","0.516","","0.510","","0.512",""
"132","Honduras","0.221","","0.252","","0.234","","0.225","","0.204","","0.231","","0.231","","0.228",""
"4","Hong Kong, China (SAR)","0.196","","0.193","","0.206","","0.229","","0.233","","0.250","","0.268","","0.270",""
"43","Hungary","0.141","","0.127","","0.105","","0.105","","0.113","","0.125","","0.123","","0.113",""
"6","Iceland","0.455","","0.452","","0.434","","0.448","","0.445","","0.450","","0.441","","0.464",""
"129","India","0.164","","0.183","","0.173","","0.184","","0.175","","0.120","","0.120","","0.122",""
"111","Indonesia","0.155","","0.172","","0.170","","0.157","","0.152","","0.138","","0.128","","0.142",""
"65","Iran (Islamic Republic of)","0.596","","0.618","","0.613","","0.453","","0.441","","0.433","","0.451","","0.489",""
"120","Iraq","0.946","","0.976","","0.954","","0.974","","0.974","","0.968","","0.937","","0.940",""
"3","Ireland","0.257","","0.257","","0.248","","0.235","","0.233","","0.243","","0.239","","0.233",""
"22","Israel","0.273","","0.292","","0.266","","0.276","","0.287","","0.273","","0.255","","0.240",""
"29","Italy","0.052","","0.053","","0.056","","0.055","","0.053","","0.052","","0.052","","0.054",""
"96","Jamaica","0.425","","0.466","","0.412","","0.441","","0.470","","0.526","","0.441","","0.464",""
"19","Japan","0.125","","0.115","","0.123","","0.127","","0.127","","0.135","","0.141","","0.139",""
"102","Jordan","0.173","","0.181","","0.163","","0.155","","0.163","","0.162","","0.166","","0.165",""
"50","Kazakhstan","0.628","","0.607","","0.592","","0.658","","0.657","","0.563","","0.506","","0.529",""
"147","Kenya","0.217","","0.202","","0.204","","0.217","","0.215","","0.234","","0.213","","0.248",""
"132","Kiribati","0.629","","0.754","","0.823","","0.899","","0.817","","0.931","","0.903","","0.896",""
"..","Korea (Democratic People's Rep. of)","0.187","","0.331","","0.363","","0.374","","0.334","","0.337","","0.392","","0.252",""
"22","Korea (Republic of)","0.154","","0.152","","0.147","","0.148","","0.148","","0.148","","0.144","","0.178",""
"57","Kuwait","0.660","","0.661","","0.697","","0.685","","0.673","","0.632","","0.621","","0.638",""
"122","Kyrgyzstan","0.286","","0.287","","0.282","","0.424","","0.370","","0.454","","0.328","","0.396",""
"140","Lao People's Democratic Republic","0.299","","0.308","","0.292","","0.276","","0.264","","0.209","","0.231","","0.234",""
